,datetime,true_aqi,predicted_aqi,city
430,2023-12-08 08:00:00,5,5,Chiang Mai
432,2023-12-08 09:00:00,4,4,Bangkok
433,2023-12-08 09:00:00,4,4,Chiang Mai
434,2023-12-08 10:00:00,3,3,Chiang Mai
435,2023-12-08 10:00:00,5,5,Bangkok
436,2023-12-08 11:00:00,5,4,Bangkok
437,2023-12-08 11:00:00,5,5,Chiang Mai
438,2023-12-08 12:00:00,5,5,Chiang Mai
439,2023-12-08 12:00:00,3,2,Bangkok
440,2023-12-08 13:00:00,2,3,Bangkok
441,2023-12-08 13:00:00,5,5,Chiang Mai
443,2023-12-08 14:00:00,5,5,Chiang Mai
442,2023-12-08 14:00:00,3,5,Bangkok
444,2023-12-08 15:00:00,2,2,Bangkok
445,2023-12-08 15:00:00,5,5,Chiang Mai
446,2023-12-08 16:00:00,5,5,Chiang Mai
447,2023-12-08 16:00:00,4,4,Bangkok
448,2023-12-08 17:00:00,5,5,Bangkok
449,2023-12-08 17:00:00,4,5,Chiang Mai
450,2023-12-08 18:00:00,5,5,Bangkok
451,2023-12-08 18:00:00,4,4,Chiang Mai
452,2023-12-08 19:00:00,4,4,Bangkok
453,2023-12-08 19:00:00,5,5,Chiang Mai
454,2023-12-08 20:00:00,5,5,Chiang Mai
455,2023-12-08 20:00:00,4,5,Bangkok
457,2023-12-08 21:00:00,5,5,Chiang Mai
456,2023-12-08 21:00:00,3,3,Bangkok
458,2023-12-08 22:00:00,1,1,Chiang Mai
459,2023-12-08 22:00:00,4,4,Bangkok
460,2023-12-08 23:00:00,5,5,Bangkok
461,2023-12-08 23:00:00,5,5,Chiang Mai
462,2023-12-09 00:00:00,5,5,Bangkok
463,2023-12-09 00:00:00,5,5,Chiang Mai
464,2023-12-09 01:00:00,5,5,Bangkok
465,2023-12-09 01:00:00,4,4,Chiang Mai
466,2023-12-09 02:00:00,5,5,Chiang Mai
467,2023-12-09 02:00:00,5,4,Bangkok
469,2023-12-09 03:00:00,5,5,Chiang Mai
468,2023-12-09 03:00:00,5,5,Bangkok
470,2023-12-09 04:00:00,5,5,Chiang Mai
471,2023-12-09 04:00:00,5,5,Bangkok
472,2023-12-09 05:00:00,5,5,Bangkok
473,2023-12-09 05:00:00,5,5,Chiang Mai
474,2023-12-09 06:00:00,2,2,Chiang Mai
475,2023-12-09 06:00:00,5,5,Bangkok
476,2023-12-09 07:00:00,4,5,Bangkok
477,2023-12-09 07:00:00,2,2,Chiang Mai
478,2023-12-09 08:00:00,4,4,Bangkok
479,2023-12-09 08:00:00,3,3,Chiang Mai
480,2023-12-09 09:00:00,5,5,Bangkok
481,2023-12-09 09:00:00,5,5,Chiang Mai
483,2023-12-09 10:00:00,3,2,Chiang Mai
482,2023-12-09 10:00:00,4,3,Bangkok
484,2023-12-09 11:00:00,3,3,Bangkok
485,2023-12-09 11:00:00,1,5,Chiang Mai
486,2023-12-09 12:00:00,2,2,Chiang Mai
487,2023-12-09 12:00:00,5,5,Bangkok
488,2023-12-09 13:00:00,5,4,Bangkok
489,2023-12-09 13:00:00,4,5,Chiang Mai
490,2023-12-09 14:00:00,5,5,Chiang Mai
491,2023-12-09 14:00:00,2,2,Bangkok
492,2023-12-09 15:00:00,3,4,Bangkok
493,2023-12-09 15:00:00,5,5,Chiang Mai
495,2023-12-09 16:00:00,4,3,Bangkok
494,2023-12-09 16:00:00,5,5,Chiang Mai
496,2023-12-09 17:00:00,5,5,Bangkok
497,2023-12-09 17:00:00,4,4,Chiang Mai
498,2023-12-09 18:00:00,5,5,Chiang Mai
499,2023-12-09 18:00:00,5,5,Bangkok
500,2023-12-09 19:00:00,3,3,Bangkok
501,2023-12-09 19:00:00,5,5,Chiang Mai
502,2023-12-09 20:00:00,2,1,Chiang Mai
503,2023-12-09 20:00:00,3,3,Bangkok
504,2023-12-09 21:00:00,4,4,Bangkok
505,2023-12-09 21:00:00,4,4,Chiang Mai
506,2023-12-09 22:00:00,4,4,Bangkok
507,2023-12-09 22:00:00,4,5,Chiang Mai
509,2023-12-09 23:00:00,5,5,Chiang Mai
508,2023-12-09 23:00:00,4,4,Bangkok
510,2023-12-10 00:00:00,5,5,Chiang Mai
511,2023-12-10 00:00:00,3,2,Bangkok
512,2023-12-10 01:00:00,5,5,Bangkok
513,2023-12-10 01:00:00,2,5,Chiang Mai
514,2023-12-10 02:00:00,3,3,Bangkok
515,2023-12-10 02:00:00,5,5,Chiang Mai
516,2023-12-10 03:00:00,4,4,Bangkok
517,2023-12-10 03:00:00,5,5,Chiang Mai
518,2023-12-10 04:00:00,5,5,Chiang Mai
519,2023-12-10 04:00:00,5,5,Bangkok
521,2023-12-10 05:00:00,2,4,Chiang Mai
520,2023-12-10 05:00:00,4,4,Bangkok
522,2023-12-10 06:00:00,5,5,Bangkok
523,2023-12-10 06:00:00,5,5,Chiang Mai
524,2023-12-10 07:00:00,4,4,Bangkok
525,2023-12-10 07:00:00,5,5,Chiang Mai
526,2023-12-10 08:00:00,4,4,Chiang Mai
527,2023-12-10 08:00:00,5,5,Bangkok
528,2023-12-10 09:00:00,4,5,Bangkok
529,2023-12-10 09:00:00,4,4,Chiang Mai
530,2023-12-10 10:00:00,4,4,Chiang Mai
531,2023-12-10 10:00:00,5,5,Bangkok
533,2023-12-10 11:00:00,5,5,Chiang Mai
532,2023-12-10 11:00:00,3,3,Bangkok
